البلد,النقرات,عدد الظهور,نسبة النقر إلى الظهور,موضع
تركيا,82,3226,2.54%,5.21
ألمانيا,3,49,6.12%,5
الولايات المتحدة,1,50,2%,6.26
المملكة المتحدة,1,40,2.5%,5.83
هولندا,1,23,4.35%,6.61
قبرص,1,14,7.14%,2.36
المغرب,1,5,20%,4
رومانيا,1,3,33.33%,2.33
فرنسا,0,37,0%,3.46
الهند,0,9,0%,3.11
الإمارات العربية المتحدة,0,9,0%,3.89
أسبانيا,0,8,0%,3.25
سويسرا,0,8,0%,4.5
اليونان,0,6,0%,5.67
أستراليا,0,5,0%,1
إيطاليا,0,5,0%,1.4
كندا,0,5,0%,14.8
قطر,0,4,0%,2.25
ألبانيا,0,4,0%,4.5
روسيا,0,4,0%,5
بولندا,0,4,0%,5.5
النرويج,0,3,0%,1.67
إندونيسيا,0,3,0%,4.67
مصر,0,3,0%,5
إسرائيل,0,2,0%,1.5
باكستان,0,2,0%,1.5
إيران,0,2,0%,4
هونج كونج,0,2,0%,4.5
لبنان,0,2,0%,4.5
المملكة العربية السعودية,0,2,0%,5.5
بلغاريا,0,2,0%,6
الدنمارك,0,2,0%,6
كرواتيا,0,2,0%,6
جورجيا,0,2,0%,9
المكسيك,0,2,0%,11
الفلبين,0,2,0%,25.5
أروبا,0,1,0%,1
النمسا,0,1,0%,1
البوسنة والهرسك,0,1,0%,1
بوليفيا,0,1,0%,1
الصين,0,1,0%,1
فنلندا,0,1,0%,1
ليتوانيا,0,1,0%,1
البرتغال,0,1,0%,1
السويد,0,1,0%,1
أوزباكستان,0,1,0%,1
سلوفينيا,0,1,0%,2
الجابون,0,1,0%,3
الكويت,0,1,0%,4
الإكوادور,0,1,0%,5
كوريا الجنوبية,0,1,0%,5
بلجيكا,0,1,0%,7
تونس,0,1,0%,7
الأردن,0,1,0%,8
سنغافورة,0,1,0%,10
صربيا,0,1,0%,10
تايوان,0,1,0%,10
فلسطين,0,1,0%,11
ماليزيا,0,1,0%,14
كولومبيا,0,1,0%,39
بنغلاديش,0,1,0%,40
